node;vertices
node1;v1,v2,v12,v24,v26,v7,v4,v6,
node2;v8,v3,v5,v9,v10,v11,
node3;v15,v16,v19,v14,v13,
node4;v22,v17,v23,v21,v18,v20,v28,v25,
node5;v27,
node8;v0,v29,
