node;vid;type;rep;upstream;rate;count
node8;v0;src;1;;1;200
node1;v1;bf;1;v0;1;200
node1;v2;lpr;1;v1;1;200
node2;v3;eqh;1;v0;1;200
node2;v4;lpr;1;v3;1;200
node2;v5;clahe;1;v0;1;200
node5;v6;lpr;1;v5;1;200
node5;v7;seg;1;v2,v4,v6;1;200
node5;v8;fib;1;v7;1;200
node3;v9;bf;1;v0;1;200
node3;v10;lpr;1;v9;1;200
node4;v11;eqh;1;v0;1;200
node4;v12;lpr;1;v11;1;200
node4;v13;clahe;1;v0;1;200
node6;v14;lpr;1;v13;1;200
node6;v15;seg;1;v10,v12,v14;1;200
node6;v16;fib;1;v15;1;200
node8;v17;snk;1;v8,v16;1;200
