node;vertices
node1;v1,v7,v9,v14,v20,v22,v2,v3,v5,v8,v10,v15
node2;v27,v33,v35,v40,v46,v48,v21,v23
node3;v16,v18,v28,v29,v31,v34,v36,v42,v19
node4;v41,v44,v47,v49,v12,v24,v17
node5;v11,v4,v6,v25,v37,v30,v32,v26
node6;v38,v50,v43,v45,v51,v39,v52
node7;v13
node8;v0,v53
