node;vertices
node1;v29,v30,v31,v32,v28,v25,v26,v5,v6,v7,v8,v3,v4,v1,v2
node2;v27
node3;v21,v22,v23,v24,v19,v20,v17,v18,v13,v14,v15,v16,v11,v12,v9,v10
node8;v0,v33
