node;vertices
node1;v1,v7,v9,v14,v20,v22,v27,v33,v2
node2;v35,v40,v46,v48,v3,v5,v8,v10,v36,v41
node3;v15,v16,v18,v21,v23,v28,v29,v31,v24,v17,v19,v25,v37,v30,v32,v26
node4;v34,v42,v44,v47,v49,v11,v4,v6,v43,v45,v51,v52
node5;v12,v38,v50,v13,v39
node8;v0,v53
