node;vertices
node1;v1,v3,v5,v9,v17,v6,v12,v20,
node2;v11,v13,v19,v21,v25,v33,v4,v14,v30,
node3;v27,v29,v35,v37,v41,v2,v10,v18,
node4;v43,v45,v22,v26,v28,v47,v48,
node5;v34,v36,v38,v42,v39,v40,
node6;v44,v46,v23,v31,v24,v32,
node7;v7,v15,v8,v16,
node8;v0,v49,
