node;vid;type;rep;upstream;rate;count
node8;v0;src;1;;1;200
node1;v1;bf;1;v0;1;200
node3;v2;lpr;1;v1;1;200
node2;v3;eqh;1;v0;1;200
node6;v4;lpr;1;v3;1;200
node3;v5;clahe;1;v0;1;200
node2;v6;lpr;1;v5;1;200
node2;v7;seg;1;v2,v4,v6;1;200
node4;v8;fib;1;v7;1;200
node4;v9;bf;1;v0;1;200
node5;v10;lpr;1;v9;1;200
node5;v11;eqh;1;v0;1;200
node1;v12;lpr;1;v11;1;200
node6;v13;clahe;1;v0;1;200
node4;v14;lpr;1;v13;1;200
node1;v15;seg;1;v10,v12,v14;1;200
node1;v16;fib;1;v15;1;200
node7;v17;bf;1;v0;1;200
node7;v18;lpr;1;v17;1;200
node2;v19;eqh;1;v0;1;200
node3;v20;lpr;1;v19;1;200
node5;v21;clahe;1;v0;1;200
node6;v22;lpr;1;v21;1;200
node7;v23;seg;1;v18,v20,v22;1;200
node5;v24;fib;1;v23;1;200
node8;v25;snk;1;v8,v16,v24;1;200
