node;vertices
node1;v1,v11,v12,v15,v16
node2;v3,v5,v29,v4,v6,v30
node3;v9,v10,v7,v31,v8,v32
node4;v13,v19,v14
node5;v17,v18
node6;v21,v27,v2,v22,v28
node7;v25,v20,v26,v23,v24
node8;v0,v33
