node;vertices
node1;v1,v27,v35,v57,v18,v36,v54,v15,v31,v16,v32
node2;v3,v5,v29,v43,v59,v12,v22,v42
node3;v9,v33,v61,v6,v28,v50,v23,v39,v24,v40
node4;v11,v13,v37,v51,v10,v30,v44,v58
node5;v17,v41,v4,v26,v46,v60,v47,v55,v56
node6;v19,v21,v45,v53,v14,v34,v52,v7,v8
node7;v25,v49,v2,v20,v38,v62,v63,v48,v64
node8;v0,v65
