idx,fv,fproc,bv,bproc,flat_mean,flat_90th,v0,v1,v2,v3
1,3,310,5,1115,369.920977,464.352274,270,25,15,0
1,1,270,7,1155,350.438831,434.903884,270,0,0,0
1,2,305,6,1120,375.109302,456.485963,270,35,0,0
1,1,270,7,1155,331.234692,431.337213,270,0,0,0
1,1,270,7,1155,362.219974,443.566894,270,0,0,0
2,3,305,15,1295,373.890026,467.079640,270,15,20,0
2,4,335,14,1265,386.594338,477.091050,270,25,25,15
2,4,320,14,1280,376.914406,482.557917,15,15,270,20
2,4,320,14,1280,375.619285,468.683004,15,15,270,20
2,3,320,15,1280,364.518963,471.034170,25,270,25,0
3,3,310,11,1240,356.624328,459.437608,15,25,270,0
3,2,285,12,1265,329.627565,428.049421,15,270,0,0
3,4,355,10,1195,379.952542,478.395867,35,15,35,270
3,4,330,10,1220,365.961157,453.296137,15,25,270,20
3,1,270,13,1280,339.812118,431.423498,270,0,0,0
4,1,270,12,1250,349.532689,450.152731,270,0,0,0
4,4,335,9,1185,384.390335,463.519836,270,25,25,15
4,3,310,10,1210,366.341753,460.167479,25,270,15,0
4,4,335,9,1185,373.954082,471.289802,25,270,25,15
4,1,270,12,1250,355.362779,447.219110,270,0,0,0
5,1,270,10,1245,352.788742,443.802500,270,0,0,0
5,3,320,8,1195,356.198111,451.948905,15,270,35,0
5,3,315,8,1200,369.064798,442.528915,270,25,20,0
5,1,270,10,1245,353.692490,424.956727,270,0,0,0
5,3,340,8,1175,375.729401,522.469830,35,35,270,0
6,2,285,7,1145,360.620073,444.868278,270,15,0,0
6,4,335,5,1095,390.955715,449.696756,35,15,270,15
6,1,270,8,1160,362.260156,439.583874,270,0,0,0
6,1,270,8,1160,338.662591,420.388221,270,0,0,0
6,1,270,8,1160,353.904606,439.959145,270,0,0,0
7,2,305,7,1125,351.098223,435.256982,270,35,0,0
7,1,270,8,1160,354.713354,441.273617,270,0,0,0
7,1,270,8,1160,355.025911,450.060344,270,0,0,0
7,4,315,5,1115,369.764981,459.594536,15,15,15,270
7,1,270,8,1160,353.128694,432.122541,270,0,0,0
8,2,295,9,1180,368.685210,459.365368,270,25,0,0
8,4,335,7,1140,389.107505,471.357155,270,15,35,15
8,1,270,10,1205,350.241643,436.527133,270,0,0,0
8,1,270,10,1205,345.876181,448.103165,270,0,0,0
8,3,305,8,1170,369.823865,459.048248,15,20,270,0
9,4,360,16,1375,392.970945,473.884892,35,20,270,35
9,4,335,16,1400,386.656160,478.689122,15,270,25,25
