idx,fv,fproc,bv,bproc,flat_mean,flat_90th,v0,v1,v2,v3
1,2,295,19,2160,535.988531,633.215546,270,25,0,0
1,2,295,19,2160,554.015929,638.658810,270,25,0,0
1,2,285,19,2170,499.109757,612.534332,15,270,0,0
1,2,285,19,2170,525.380999,624.809146,15,270,0,0
1,4,340,17,2115,545.631115,612.960911,35,15,270,20
1,2,295,19,2160,497.429460,615.805244,25,270,0,0
1,3,325,18,2130,536.109940,606.447530,35,20,270,0
1,4,335,17,2120,540.146579,644.829536,25,25,15,270
2,3,320,14,2030,554.804534,639.956927,270,15,35,0
2,2,290,15,2060,518.422948,621.891522,20,270,0,0
2,2,285,15,2065,542.229768,632.826686,270,15,0,0
2,1,270,16,2080,521.242979,617.501855,270,0,0,0
2,4,330,13,2020,520.333399,637.382746,20,15,270,25
2,1,270,16,2080,531.086817,624.088811,270,0,0,0
2,1,270,16,2080,532.481012,611.398196,270,0,0,0
2,3,315,14,2035,516.749026,633.990907,25,270,20,0
3,2,305,18,2110,534.787335,609.389782,270,35,0,0
3,1,270,19,2145,526.125444,601.371670,270,0,0,0
3,1,270,19,2145,528.676476,605.091262,270,0,0,0
3,2,285,18,2130,496.270338,597.503686,15,270,0,0
3,4,345,16,2070,467.967291,597.536445,25,15,35,270
3,3,310,17,2105,542.218327,626.440549,270,15,25,0
3,4,320,16,2095,510.414661,613.457966,15,15,20,270
3,3,310,17,2105,511.930934,617.178273,25,15,270,0
4,1,270,13,2000,518.287050,608.086968,270,0,0,0
4,2,285,12,1985,483.117734,587.807226,15,270,0,0
4,3,300,11,1970,499.265724,600.854564,15,15,270,0
4,3,310,11,1960,510.755246,618.065738,15,270,25,0
4,2,295,12,1975,484.577668,605.815029,25,270,0,0
4,1,270,13,2000,510.819391,602.489352,270,0,0,0
4,1,270,13,2000,517.055608,607.943320,270,0,0,0
4,1,270,13,2000,508.141412,602.958918,270,0,0,0
5,4,335,20,2120,547.758272,655.286217,25,25,270,15
5,4,325,20,2130,554.959413,654.545522,270,15,20,20
5,1,270,23,2185,530.116708,635.223722,270,0,0,0
5,2,290,22,2165,527.332954,632.911086,20,270,0,0
5,4,325,20,2130,564.746047,659.848094,270,20,15,20
5,3,310,21,2145,534.328200,642.808414,25,15,270,0
5,4,315,20,2140,550.193233,654.380583,15,270,15,15
5,2,285,22,2170,520.197941,627.887058,15,270,0,0
6,3,320,13,2010,475.629178,587.694072,15,35,270,0
6,2,285,14,2045,526.608275,608.381987,270,15,0,0
6,1,270,15,2060,507.364687,579.246735,270,0,0,0
6,3,300,13,2030,501.547695,600.520563,15,270,15,0
6,1,270,15,2060,504.547501,585.740614,270,0,0,0
6,4,345,12,1985,520.574712,586.771607,15,35,25,270
6,1,270,15,2060,495.024498,587.471437,270,0,0,0
6,1,270,15,2060,520.076411,587.641883,270,0,0,0
7,3,320,19,2140,482.432190,606.884265,15,35,270,0
7,3,300,19,2160,545.347154,628.808045,270,15,15,0
7,4,360,18,2100,531.658288,698.086119,35,35,270,20
7,3,310,19,2150,537.856845,608.914614,270,25,15,0
7,1,270,21,2190,520.325911,602.314711,270,0,0,0
7,3,310,19,2150,509.331442,612.300229,15,25,270,0
7,1,270,21,2190,486.075084,582.814502,270,0,0,0
7,4,320,18,2140,524.559162,626.223850,15,15,270,20
8,3,340,20,2165,547.511392,691.511154,35,35,270,0
8,1,270,22,2235,535.055623,621.686602,270,0,0,0
8,4,340,19,2165,554.980159,631.614590,35,15,20,270
8,4,315,19,2190,517.540777,626.363349,15,15,15,270
8,2,295,21,2210,547.537029,632.653737,270,25,0,0
8,1,270,22,2235,526.550591,613.761354,270,0,0,0
8,4,345,19,2160,574.701350,652.662706,270,25,25,25
8,4,330,19,2175,546.077567,645.892429,20,25,15,270
9,1,270,22,2295,515.031468,613.901663,270,0,0,0
9,1,270,22,2295,534.533917,618.306279,270,0,0,0
9,3,325,20,2240,500.494208,627.308273,20,35,270,0
9,4,375,19,2190,538.745660,711.896777,35,35,270,35
9,2,305,21,2260,539.212672,616.568208,270,35,0,0
9,4,340,19,2225,531.141348,633.027815,25,270,20,25
9,4,345,19,2220,569.613178,651.978445,270,20,35,20
9,4,335,19,2230,499.288282,616.890263,15,15,35,270
10,2,285,16,2085,508.776522,610.950875,15,270,0,0
10,4,320,14,2050,534.183536,626.258064,15,20,270,15
10,1,270,17,2100,532.280269,618.970084,270,0,0,0
10,3,330,15,2040,552.638469,635.824633,270,35,25,0
10,1,270,17,2100,520.564913,608.344746,270,0,0,0
10,1,270,17,2100,497.687194,589.303470,270,0,0,0
10,2,305,16,2065,531.172446,601.585460,35,270,0,0
10,4,320,14,2050,569.379549,649.893856,270,15,20,15
11,2,295,16,2080,511.023369,627.889848,25,270,0,0
11,2,285,16,2090,514.980392,608.677101,270,15,0,0
11,1,270,17,2105,524.914925,611.535906,270,0,0,0
11,1,270,17,2105,526.029841,617.901230,270,0,0,0
11,3,340,15,2035,566.074003,649.259949,270,35,35,0
11,4,325,14,2050,566.527408,647.877621,270,20,20,15
11,2,285,16,2090,496.978625,593.536019,270,15,0,0
11,3,305,15,2070,555.431352,639.533734,270,20,15,0
12,3,310,18,2125,545.328830,648.444485,20,270,20,0
12,2,285,19,2150,537.875474,636.334801,270,15,0,0
12,4,345,17,2090,552.936157,645.023251,35,270,25,15
12,3,310,18,2125,527.298405,632.785678,15,270,25,0
12,3,315,18,2120,544.526091,642.280460,20,270,25,0
12,1,270,20,2165,530.947917,625.625038,270,0,0,0
12,2,295,19,2140,546.718475,634.858418,270,25,0,0
12,3,305,18,2130,526.994696,631.542086,15,20,270,0
13,2,285,20,2150,552.109635,634.162593,270,15,0,0
13,3,305,19,2130,550.861579,638.110328,270,15,20,0
13,2,305,20,2130,561.019679,643.447113,270,35,0,0
13,4,325,18,2110,555.218040,656.637955,20,270,20,15
13,1,270,21,2165,518.651218,618.404126,270,0,0,0
13,4,330,18,2105,544.904852,649.560404,20,15,25,270
13,2,285,20,2150,533.702211,626.385856,270,15,0,0
13,4,330,18,2105,575.012565,662.436723,270,20,25,15
14,3,300,21,2175,527.221123,636.195731,15,270,15,0
14,3,315,21,2160,540.922746,643.244601,20,25,270,0
14,3,340,21,2135,560.819473,650.038457,35,270,35,0
14,2,285,22,2190,545.898764,641.063428,270,15,0,0
14,1,270,23,2205,520.079176,621.566677,270,0,0,0
14,4,320,20,2155,533.273288,643.840623,15,15,270,20
14,4,320,20,2155,549.707590,647.721386,20,15,15,270
14,4,325,20,2150,549.597893,654.346061,15,25,270,15
15,3,320,21,2220,495.962625,619.427204,15,35,270,0
15,3,320,21,2220,545.614432,641.627908,15,270,35,0
15,2,295,22,2245,541.824533,634.863162,270,25,0,0
15,4,340,20,2200,545.838577,619.102645,35,15,20,270
15,2,290,22,2250,539.653382,640.086079,270,20,0,0
15,4,355,20,2185,553.351934,650.654292,25,270,25,35
15,2,290,22,2250,516.375062,622.780466,20,270,0,0
15,4,330,20,2210,544.915874,640.005278,20,270,15,25
16,2,285,23,2220,517.958124,632.604718,15,270,0,0
16,3,315,22,2190,573.500701,658.945370,270,25,20,0
16,4,335,21,2170,525.920005,646.551156,15,25,25,270
16,3,320,22,2185,543.618557,631.124020,35,270,15,0
16,3,305,22,2200,529.648813,648.614192,15,270,20,0
16,3,310,22,2195,568.631046,663.265276,270,20,20,0
16,4,320,21,2185,561.747425,666.333676,15,15,20,270
16,3,315,22,2190,550.090032,652.938748,20,25,270,0
17,1,270,16,2105,517.167522,601.802540,270,0,0,0
17,3,330,14,2045,544.128288,619.437695,35,25,270,0
17,2,290,15,2085,517.418799,623.901868,20,270,0,0
17,2,290,15,2085,542.539710,628.743076,270,20,0,0
17,1,270,16,2105,520.853759,620.048142,270,0,0,0
17,4,345,13,2030,550.483158,650.030613,15,25,270,35
17,3,310,14,2065,523.801950,628.708720,20,270,20,0
17,1,270,16,2105,532.836379,618.213749,270,0,0,0
18,3,300,15,2050,513.076706,620.518780,15,270,15,0
18,2,285,16,2065,535.642723,623.891569,270,15,0,0
18,2,290,16,2060,497.318653,614.679122,20,270,0,0
18,3,320,15,2030,543.611317,631.202579,270,35,15,0
18,1,270,17,2080,515.869276,614.917517,270,0,0,0
18,1,270,17,2080,532.537364,618.530846,270,0,0,0
18,4,325,14,2025,560.449985,651.879596,270,20,20,15
18,2,290,16,2060,516.626107,623.223686,20,270,0,0
19,4,355,22,2210,552.961239,651.275301,15,270,35,35
19,4,340,22,2225,566.615063,658.265972,20,270,15,35
19,2,285,24,2280,495.076060,613.237142,15,270,0,0
19,2,285,24,2280,513.170292,623.601770,15,270,0,0
19,4,335,22,2230,533.941762,620.253301,35,15,270,15
19,3,305,23,2260,551.809051,642.576766,270,20,15,0
19,3,340,23,2225,570.349729,657.809043,270,35,35,0
19,4,320,22,2245,538.589568,647.278380,15,270,15,20
20,2,290,17,2105,546.307244,628.696442,270,20,0,0
20,2,295,17,2100,548.565056,633.567119,270,25,0,0
20,2,285,17,2110,530.886954,619.235206,270,15,0,0
20,1,270,18,2125,516.002643,619.736242,270,0,0,0
20,4,320,15,2075,530.480796,636.657739,270,20,15,15
20,2,295,17,2100,540.368732,627.283383,270,25,0,0
20,4,345,15,2050,544.949298,654.027533,15,270,35,25
20,2,295,17,2100,480.463083,609.134817,25,270,0,0
21,1,270,21,2180,533.088827,618.083596,270,0,0,0
21,3,305,19,2145,520.632783,632.141733,15,20,270,0
21,2,285,20,2165,549.948440,635.876894,270,15,0,0
21,4,330,18,2120,548.135279,655.147433,20,25,270,15
21,2,295,20,2155,548.609211,630.129910,270,25,0,0
21,4,345,18,2105,539.318255,648.714518,15,270,25,35
21,2,285,20,2165,542.179008,634.468341,270,15,0,0
21,4,335,18,2115,542.302614,643.683410,25,15,25,270
22,2,285,18,2110,537.665162,629.698396,270,15,0,0
22,2,285,18,2110,535.953613,636.492157,270,15,0,0
22,4,345,16,2050,577.159853,660.209084,270,20,20,35
22,2,295,18,2100,508.457562,623.657989,25,270,0,0
22,1,270,19,2125,527.241732,619.285155,270,0,0,0
22,3,300,17,2095,527.779705,628.237724,270,15,15,0
22,3,305,17,2090,503.504385,620.151067,15,270,20,0
22,3,310,17,2085,501.192558,625.516748,15,25,270,0
23,3,305,17,2095,529.030048,631.001091,20,15,270,0
23,4,325,16,2075,511.173680,625.214052,15,25,15,270
23,1,270,19,2130,532.303201,622.311974,270,0,0,0
23,3,320,17,2080,529.104156,628.012729,25,270,25,0
23,1,270,19,2130,518.797269,613.097167,270,0,0,0
23,3,320,17,2080,550.668834,645.707941,270,25,25,0
23,4,320,16,2080,537.726376,638.532806,15,20,15,270
23,1,270,19,2130,537.792730,620.196343,270,0,0,0
24,4,325,17,2080,557.133036,655.267000,270,25,15,15
24,1,270,20,2135,533.321451,616.535878,270,0,0,0
24,3,310,18,2095,524.025780,632.848882,20,20,270,0
24,4,325,17,2080,526.987172,631.226015,25,15,270,15
24,2,285,19,2120,541.009272,630.477786,270,15,0,0
24,1,270,20,2135,497.515801,592.526460,270,0,0,0
24,2,295,19,2110,545.462080,635.895014,270,25,0,0
24,4,325,17,2080,575.574113,659.552002,270,25,15,15
25,3,300,14,2040,520.362102,614.681578,15,15,270,0
25,3,320,14,2020,527.813289,598.823500,35,15,270,0
