idx,fv,fproc,bv,bproc,flat_mean,flat_90th,v0,v1,v2,v3
95,2,285,7,915,331.619792,354.803919,15,270,0,0
95,2,295,7,905,321.634520,346.175718,270,25,0,0
95,4,350,5,850,350.327541,390.186429,20,270,25,35
95,1,270,8,930,308.435428,332.857179,270,0,0,0
96,3,300,6,890,256.344634,370.213771,15,270,15,0
96,3,315,6,875,338.149241,388.073111,25,20,270,0
96,2,305,7,885,320.664612,355.151200,270,35,0,0
96,1,270,8,920,298.003970,327.790475,270,0,0,0
97,2,285,7,920,330.081361,350.251150,15,270,0,0
97,2,305,7,900,327.771271,349.992466,270,35,0,0
97,1,270,8,935,306.985131,330.645060,270,0,0,0
97,4,345,5,860,348.193274,371.622467,270,35,25,15
98,3,310,7,875,337.159884,365.172982,270,20,20,0
98,2,290,8,895,320.726699,368.459654,20,270,0,0
98,4,315,6,870,355.302448,380.602002,15,270,15,15
98,1,270,9,915,305.229461,335.116625,270,0,0,0
99,2,290,9,985,323.074554,367.283035,20,270,0,0
99,4,375,7,900,371.270840,395.600534,270,35,35,35
99,1,270,10,1005,312.020577,337.514114,270,0,0,0
99,4,340,7,935,351.720268,394.642472,20,270,15,35
100,2,290,7,895,317.364924,359.591437,20,270,0,0
100,3,305,6,880,271.358944,373.902059,15,20,270,0
100,3,320,6,865,329.100221,351.367164,35,270,15,0
100,1,270,8,915,304.799557,333.709407,270,0,0,0
101,2,60,6,380,84.800084,91.523552,35,25,0,0
101,1,25,7,415,52.162012,58.783054,25,0,0,0
101,1,15,7,425,39.732695,47.852755,15,0,0,0
101,4,340,4,100,339.325608,363.618660,270,15,20,35
102,3,65,9,450,95.391545,109.588838,15,35,15,0
102,3,310,9,205,302.221611,344.400525,25,270,15,0
102,2,60,10,455,92.201111,108.594036,25,35,0,0
102,4,80,8,435,114.806172,130.930471,15,15,15,35
103,1,35,6,155,65.674666,71.661568,35,0,0,0
103,1,15,6,175,41.095014,49.928856,15,0,0,0
103,4,105,3,85,123.046047,131.351233,15,35,20,35
103,1,35,6,155,65.459863,72.669077,35,0,0,0
104,2,45,6,620,82.762473,97.032809,20,25,0,0
104,1,270,7,395,296.960200,324.145221,270,0,0,0
104,1,15,7,650,42.944341,52.042293,15,0,0,0
104,4,335,4,330,333.088781,357.932878,270,15,35,15
105,1,15,5,115,44.839509,52.817703,15,0,0,0
105,1,15,5,115,46.100222,53.779936,15,0,0,0
105,3,85,3,45,111.764525,121.778464,15,35,35,0
105,1,15,5,115,44.092168,50.732184,15,0,0,0
106,1,25,10,470,59.497925,75.879789,25,0,0,0
106,3,60,8,435,103.616278,120.200896,25,20,15,0
106,4,330,7,165,330.017093,356.540680,270,15,20,25
106,3,80,8,415,117.568442,132.835436,20,25,35,0
107,3,330,5,90,287.128386,335.339570,25,35,270,0
107,1,15,7,405,45.446537,51.635599,15,0,0,0
107,1,15,7,405,45.545021,51.286554,15,0,0,0
107,3,60,5,360,93.863823,108.034181,25,20,15,0
108,2,295,10,480,311.447133,335.535789,270,25,0,0
108,2,50,10,725,77.183257,89.879584,25,25,0,0
108,4,85,8,690,123.478864,143.519616,15,15,35,20
108,4,345,8,430,336.398613,360.183239,270,15,35,25
109,1,15,12,450,49.099579,66.969299,15,0,0,0
109,4,65,9,400,118.269241,135.333538,20,15,15,15
109,4,315,9,150,270.105311,374.959325,15,270,15,15
109,4,70,9,395,128.193674,148.379540,20,20,15,15
110,1,270,9,195,297.981791,322.567415,270,0,0,0
110,4,100,6,365,130.518122,149.097466,15,35,15,35
110,4,70,6,395,124.361595,139.558912,15,20,15,20
110,1,25,9,440,52.655849,64.220548,25,0,0,0
111,2,285,6,365,251.097885,358.857178,15,270,0,0
111,1,15,7,635,39.144536,48.773623,15,0,0,0
111,1,15,7,635,43.889070,52.195167,15,0,0,0
111,4,335,4,315,280.365001,407.093739,15,15,270,35
112,2,50,6,100,83.811901,96.607756,25,25,0,0
112,3,50,5,100,90.144742,101.966882,15,15,20,0
112,1,20,7,130,58.779966,75.688839,20,0,0,0
112,2,30,6,120,64.882898,82.701945,15,15,0,0
113,1,25,9,455,48.911810,58.244180,25,0,0,0
113,1,15,9,465,41.120340,48.289728,15,0,0,0
113,4,90,6,390,115.534809,132.680178,35,20,20,15
113,4,350,6,130,326.572862,347.240471,35,270,25,20
114,1,25,10,445,56.516330,67.619205,25,0,0,0
114,3,310,8,160,318.368010,342.790962,270,25,15,0
114,4,80,7,390,121.190617,138.050603,15,15,15,35
114,3,55,8,415,105.143129,123.714614,20,15,20,0
