idx,fv,fproc,bv,bproc,flat_mean,flat_90th,v0,v1,v2,v3
95,4,320,0,0,339.907256,372.347188,15,15,270,20
96,2,285,0,0,311.954578,336.618209,15,270,0,0
97,4,345,0,0,325.665216,373.517227,25,25,270,25
98,4,325,0,0,335.047625,426.250195,20,20,270,15
99,4,345,0,0,257.920557,394.353772,25,15,35,270
100,4,325,0,0,263.484665,382.701397,15,15,270,25
101,3,320,0,0,312.913114,341.220713,270,35,15,0
102,4,100,0,0,106.492985,114.015746,35,15,15,35
103,4,345,0,0,326.257526,369.409514,20,35,270,20
104,3,45,0,0,57.334969,63.440085,15,15,15,0
105,3,305,0,0,327.509365,351.821470,15,270,20,0
106,4,80,0,0,97.887930,106.479883,25,20,15,20
107,3,300,0,0,254.940575,359.008836,15,15,270,0
108,4,110,0,0,116.135082,124.095321,35,35,20,20
109,4,325,0,0,319.241482,347.276067,270,20,20,15
110,4,330,0,0,318.525733,345.685291,270,15,25,20
111,4,100,0,0,115.394415,123.808718,20,25,35,20
112,4,335,0,0,320.280212,344.737077,270,25,25,15
113,2,60,0,0,71.549975,76.268864,25,35,0,0
114,4,80,0,0,95.776105,104.074621,25,15,15,25
115,3,85,0,0,94.905679,101.058578,35,15,35,0
116,4,355,0,0,273.056307,385.928488,35,15,35,270
117,4,325,0,0,318.358024,345.622159,270,20,20,15
118,4,330,0,0,317.814227,343.723607,270,15,20,25
119,4,345,0,0,322.444829,347.499299,270,25,35,15
120,3,305,0,0,309.795493,349.912977,20,270,15,0
121,3,75,0,0,87.215130,93.412686,20,35,20,0
122,4,335,0,0,320.266967,352.143693,35,15,270,15
123,4,105,0,0,110.377685,119.270229,25,35,25,20
124,4,330,0,0,366.736252,396.635271,25,15,20,270
125,3,80,0,0,88.248597,96.429992,25,35,20,0
126,4,345,0,0,235.078545,349.633527,15,35,270,25
127,2,50,0,0,60.340251,65.088797,35,15,0,0
128,4,320,0,0,352.206383,415.293050,15,20,270,15
129,3,55,0,0,66.678553,72.444868,15,25,15,0
130,4,355,0,0,340.112750,370.659876,35,25,25,270
131,3,80,0,0,93.623807,100.944090,25,20,35,0
132,4,325,0,0,358.085660,542.105961,15,20,20,270
133,3,50,0,0,66.681788,73.367286,20,15,15,0
134,4,330,0,0,342.578555,435.175824,20,20,270,20
135,3,65,0,0,81.394107,87.142443,15,15,35,0
136,3,325,0,0,317.002294,357.226944,20,270,35,0
137,4,320,0,0,316.849517,342.430163,270,20,15,15
138,4,335,0,0,281.728588,388.740993,15,25,25,270
139,4,85,0,0,92.241497,99.268318,35,20,15,15
140,4,100,0,0,109.265968,117.206383,15,35,35,15
141,4,350,0,0,299.938710,363.325715,35,20,270,25
142,4,80,0,0,92.207446,98.942995,15,25,15,25
143,4,320,0,0,317.663362,341.484618,270,15,15,20
144,4,320,0,0,316.093812,340.284991,270,15,20,15
145,4,95,0,0,100.796703,109.690404,35,25,15,20
146,3,70,0,0,88.778740,96.069526,15,20,35,0
147,3,70,0,0,86.624883,93.211151,15,20,35,0
148,4,110,0,0,111.751378,119.366241,35,25,25,25
149,4,335,0,0,322.768005,348.453021,35,270,15,15
150,4,75,0,0,98.944175,107.659984,20,20,20,15
151,4,315,0,0,283.847667,507.382011,15,15,15,270
152,4,335,0,0,331.013155,365.085197,35,15,15,270
153,3,55,0,0,71.475624,77.238798,25,15,15,0
154,3,85,0,0,93.168682,99.710464,35,35,15,0
155,4,65,0,0,81.277641,89.795017,15,15,20,15
156,4,90,0,0,100.753640,108.477282,15,25,25,25
157,4,100,0,0,105.304427,113.624596,35,35,15,15
158,4,340,0,0,327.137020,376.647949,20,35,15,270
159,4,90,0,0,98.616124,105.763412,15,35,25,15
160,4,70,0,0,92.715546,102.595592,15,20,15,20
161,4,345,0,0,320.290946,361.798215,25,270,15,35
162,4,350,0,0,323.207495,348.712492,270,35,25,20
163,4,65,0,0,86.863567,95.627475,15,20,15,15
164,4,315,0,0,265.458741,380.881047,15,15,270,15
165,4,85,0,0,103.034046,111.330104,20,15,35,15
166,3,305,0,0,312.453337,387.497472,20,15,270,0
167,4,330,0,0,359.756284,424.405646,15,20,270,25
168,2,50,0,0,60.464787,65.690588,35,15,0,0
169,3,60,0,0,77.125086,84.053302,20,15,25,0
170,4,70,0,0,92.890066,101.517868,15,20,20,15
171,4,340,0,0,360.212260,426.147222,15,20,270,35
172,3,310,0,0,260.286914,366.632724,25,15,270,0
173,4,65,0,0,84.398097,92.228127,15,15,20,15
174,4,110,0,0,120.743104,131.002689,20,35,20,35
175,4,315,0,0,269.745306,379.779744,15,15,15,270
176,4,335,0,0,318.902847,342.867518,270,15,35,15
177,4,80,0,0,102.089816,111.004900,15,20,25,20
178,3,105,0,0,113.010622,121.011067,35,35,35,0
179,4,345,0,0,324.741809,358.724618,20,270,35,20
180,4,100,0,0,104.993463,111.571955,35,25,25,15
181,3,300,0,0,304.939432,330.476117,270,15,15,0
182,4,85,0,0,100.786892,109.665298,15,25,25,20
183,4,345,0,0,313.661220,368.365955,25,35,270,15
184,4,105,0,0,117.456017,126.788401,20,35,35,15
185,4,360,0,0,330.809071,356.515765,270,35,35,20
186,4,90,0,0,97.975746,105.355359,15,35,15,25
187,3,60,0,0,74.789860,81.725883,25,20,15,0
188,4,355,0,0,325.984557,349.045110,270,35,25,25
189,4,90,0,0,104.418987,113.101864,15,25,25,25
190,2,305,0,0,302.068151,327.704763,270,35,0,0
191,4,340,0,0,342.966872,366.922975,15,270,35,20
192,3,300,0,0,303.298570,330.898118,270,15,15,0
193,4,325,0,0,316.128861,341.186572,270,15,15,25
194,3,65,0,0,77.330605,82.549285,35,15,15,0
195,4,90,0,0,98.434889,104.862785,35,15,20,20
196,4,70,0,0,92.938830,101.163221,20,20,15,15
197,4,355,0,0,332.729806,357.145667,270,15,35,35
198,4,320,0,0,302.480187,509.443569,15,20,15,270
199,4,115,0,0,123.513963,136.227989,25,20,35,35
200,4,325,0,0,265.301330,374.835682,15,270,15,25
201,3,305,0,0,307.009946,332.977224,270,20,15,0
202,4,350,0,0,331.851099,377.112150,35,25,20,270
203,4,70,0,0,90.914402,99.265098,20,15,15,20
204,4,355,0,0,324.869094,384.312105,25,25,35,270
205,4,95,0,0,110.897447,119.069219,20,25,15,35
206,4,75,0,0,93.067752,101.038838,20,25,15,15
207,4,85,0,0,104.455062,112.065578,15,20,35,15
208,2,35,0,0,48.013616,53.736186,15,20,0,0
209,4,90,0,0,105.702767,112.222719,15,25,35,15
210,4,340,0,0,278.141950,387.670874,35,15,20,270
211,4,105,0,0,112.867768,122.046065,35,35,20,15
212,4,335,0,0,344.330189,365.271592,15,270,25,25
213,4,335,0,0,319.727923,342.368674,270,15,35,15
214,4,60,0,0,79.926568,86.744023,15,15,15,15
215,4,100,0,0,110.944837,119.674802,15,15,35,35
216,4,90,0,0,99.519113,108.517337,25,25,25,15
217,4,80,0,0,92.848880,101.779485,25,25,15,15
218,4,335,0,0,236.167866,368.673849,35,15,270,15
219,4,80,0,0,88.783576,95.686054,15,35,15,15
220,4,100,0,0,108.890531,115.525603,35,15,35,15
221,4,85,0,0,99.075701,107.634521,25,25,20,15
222,4,80,0,0,98.493421,108.356118,20,20,25,15
223,4,85,0,0,97.406918,105.554414,15,35,15,20
224,4,75,0,0,92.968718,101.520467,15,25,20,15
225,3,325,0,0,311.131914,349.552894,20,35,270,0
226,4,90,0,0,97.638866,106.908274,35,15,20,20
227,3,65,0,0,80.525789,86.871267,15,15,35,0
228,4,90,0,0,99.680696,106.744624,15,35,25,15
229,3,85,0,0,99.914525,107.525563,15,35,35,0
230,3,50,0,0,67.711571,74.641872,15,15,20,0
231,3,70,0,0,80.657127,86.644340,15,35,20,0
232,3,50,0,0,69.728342,76.502466,15,20,15,0
233,3,70,0,0,77.697750,83.865571,35,15,20,0
234,4,65,0,0,83.913505,91.006637,15,15,15,20
235,3,65,0,0,74.823057,82.125402,15,25,25,0
236,3,320,0,0,313.322861,337.995839,270,15,35,0
237,4,85,0,0,106.949624,115.090919,20,15,15,35
238,4,325,0,0,317.012246,340.054894,270,15,15,25
239,4,75,0,0,95.260366,102.935958,20,25,15,15
240,4,80,0,0,91.645399,99.192763,15,35,15,15
241,4,80,0,0,93.639649,101.111078,25,15,25,15
242,4,335,0,0,329.956911,370.325994,15,15,35,270
243,4,335,0,0,268.004844,381.380915,15,15,270,35
244,4,90,0,0,105.923611,113.102388,20,35,15,20
245,3,305,0,0,253.060222,359.733677,15,270,20,0
246,4,100,0,0,115.342088,123.892927,20,20,35,25
247,4,335,0,0,277.340221,387.129355,15,15,35,270
248,3,310,0,0,305.719942,331.838846,270,25,15,0
249,4,330,0,0,319.245362,344.709086,270,25,15,20
250,4,330,0,0,320.641663,348.798561,270,20,20,20
251,3,55,0,0,73.784181,80.789756,15,20,20,0
252,4,125,0,0,131.813455,142.260766,35,35,20,35
253,3,60,0,0,74.367472,81.652498,15,20,25,0
254,4,320,0,0,265.066355,379.602004,15,15,270,20
255,4,85,0,0,95.502638,103.019285,15,15,35,20
256,2,290,0,0,298.139249,336.267829,20,270,0,0
257,4,325,0,0,319.307802,343.778682,270,15,20,20
258,4,335,0,0,316.337521,343.940377,270,25,25,15
259,4,85,0,0,100.721947,109.790230,20,25,25,15
260,4,325,0,0,314.454639,336.223197,270,25,15,15
261,2,45,0,0,55.815023,61.677361,25,20,0,0
262,4,340,0,0,325.146207,349.731612,270,20,15,35
263,4,100,0,0,108.085545,115.828276,35,35,15,15
264,4,120,0,0,124.113599,134.970904,35,35,35,15
265,4,340,0,0,325.707245,364.424419,20,270,35,15
266,4,345,0,0,331.726785,355.207134,35,270,15,25
267,4,90,0,0,106.403018,114.779925,15,20,35,20
268,4,60,0,0,78.729583,85.409665,15,15,15,15
269,3,80,0,0,85.328825,92.408681,35,20,25,0
270,4,330,0,0,316.992515,343.289685,270,20,25,15
