idx,fv,fproc,bv,bproc,flat_mean,flat_90th,v0,v1,v2,v3
1,2,285,19,1965,438.495768,556.982207,15,270,0,0
1,3,320,18,1930,484.443831,592.701030,270,15,35,0
1,3,330,18,1920,479.207410,590.663886,25,270,35,0
1,4,355,17,1895,436.935791,575.190186,15,35,270,35
1,2,295,19,1955,477.305541,577.315975,270,25,0,0
1,3,325,18,1925,484.819094,583.006048,270,20,35,0
1,4,340,17,1910,489.473789,581.430436,270,15,35,20
2,1,270,14,1800,456.359524,543.359089,270,0,0,0
2,2,295,13,1775,462.453130,546.836162,270,25,0,0
2,1,270,14,1800,432.702224,526.362229,270,0,0,0
2,3,305,12,1765,473.797088,560.661578,270,15,20,0
2,4,335,11,1735,481.607804,551.618839,35,15,270,15
2,3,325,12,1745,478.246566,546.242428,35,20,270,0
2,1,270,14,1800,456.159328,541.100239,270,0,0,0
3,2,305,15,1800,481.047200,570.426035,270,35,0,0
3,4,340,13,1765,461.262997,587.697196,25,20,270,25
3,1,270,16,1835,457.517213,560.472464,270,0,0,0
3,1,270,16,1835,465.331652,556.818986,270,0,0,0
3,4,320,13,1785,463.268905,583.634591,15,270,15,20
3,4,330,13,1775,492.079051,580.539704,20,270,20,20
3,1,270,16,1835,456.464868,562.958717,270,0,0,0
4,2,290,19,1900,473.651354,581.670499,20,270,0,0
4,3,310,18,1880,486.579458,598.655701,20,20,270,0
4,1,270,20,1920,467.882844,574.844027,270,0,0,0
4,4,330,17,1860,520.287272,609.918046,270,20,20,20
4,3,315,18,1875,492.483859,609.126115,20,270,25,0
4,4,325,17,1865,505.093336,615.019845,20,270,20,15
4,4,350,17,1840,521.903647,592.082477,35,25,20,270
5,2,290,15,1815,447.943156,560.699129,20,270,0,0
5,1,270,16,1835,453.428808,547.996283,270,0,0,0
5,4,345,13,1760,473.753269,567.533517,25,270,35,15
5,3,305,14,1800,461.128896,564.279032,15,20,270,0
5,2,285,15,1820,444.123983,552.288460,15,270,0,0
5,1,270,16,1835,448.138180,541.481209,270,0,0,0
5,4,340,13,1765,485.843833,560.449338,35,20,270,15
6,3,320,17,1835,474.095542,572.188091,25,25,270,0
6,1,270,19,1885,456.767306,559.903622,270,0,0,0
6,2,285,18,1870,458.834121,568.556094,270,15,0,0
6,4,320,16,1835,463.029869,579.441452,15,20,270,15
6,3,305,17,1850,482.980022,553.122187,270,15,20,0
6,4,345,16,1810,496.019356,573.547768,35,20,270,20
6,3,310,17,1845,465.119561,569.164109,25,15,270,0
7,1,270,15,1820,451.340718,542.185068,270,0,0,0
7,2,285,14,1805,420.518185,534.020448,15,270,0,0
7,4,330,12,1760,444.229167,555.860734,20,15,25,270
7,1,270,15,1820,455.915534,545.063448,270,0,0,0
7,4,345,12,1745,434.981613,553.325772,25,15,35,270
7,1,270,15,1820,453.994877,545.896935,270,0,0,0
7,3,320,13,1770,469.865434,566.709923,270,25,25,0
8,2,285,16,1820,445.491191,557.569337,15,270,0,0
8,1,270,17,1835,456.192384,556.948495,270,0,0,0
8,4,325,14,1780,473.697265,582.105398,20,20,15,270
8,4,325,14,1780,455.689274,566.255784,25,15,15,270
8,2,285,16,1820,435.382663,557.151628,15,270,0,0
8,4,345,14,1760,480.564146,577.058959,15,25,270,35
8,1,270,17,1835,462.547534,560.410714,270,0,0,0
9,2,295,16,1830,471.172483,565.287209,270,25,0,0
9,2,285,16,1840,460.871479,555.094433,270,15,0,0
9,3,325,15,1800,487.082623,572.237563,270,35,20,0
9,2,305,16,1820,467.543224,543.491268,35,270,0,0
9,4,325,14,1800,447.997109,567.531896,25,15,270,15
9,2,290,16,1835,457.925485,555.609823,20,270,0,0
9,3,300,15,1825,469.324347,569.534826,270,15,15,0
10,4,325,15,1830,477.157267,569.796181,20,15,20,270
10,1,270,18,1885,451.351159,542.364955,270,0,0,0
10,3,300,16,1855,467.936046,560.790610,270,15,15,0
10,3,320,16,1835,425.506806,537.732863,15,35,270,0
10,3,310,16,1845,453.156112,546.679234,15,270,25,0
10,1,270,18,1885,431.905184,524.548769,270,0,0,0
10,4,360,15,1795,494.478968,646.295238,35,35,270,20
11,3,310,15,1825,428.193176,546.837616,25,15,270,0
11,2,285,16,1850,462.169503,560.720754,270,15,0,0
11,1,270,17,1865,457.709433,547.832013,270,0,0,0
11,4,325,14,1810,454.240501,558.041143,15,15,270,25
11,1,270,17,1865,438.066125,539.233350,270,0,0,0
11,4,365,14,1770,500.652618,566.327834,35,270,35,25
11,3,310,15,1825,480.636584,574.815941,270,25,15,0
12,3,300,23,1980,460.081185,585.040117,15,270,15,0
12,4,320,22,1960,477.487930,596.168065,20,15,270,15
12,4,335,22,1945,479.418991,593.377304,15,270,15,35
12,4,350,22,1930,446.269320,588.110256,25,20,35,270
12,3,300,23,1980,483.508055,595.419550,270,15,15,0
12,4,355,22,1925,510.886670,602.476287,270,25,25,35
12,4,320,22,1960,508.304182,601.535129,270,15,20,15
13,2,285,14,1835,438.207633,531.056046,15,270,0,0
13,3,325,13,1795,454.484867,539.420151,35,20,270,0
13,2,285,14,1835,437.273873,542.546868,15,270,0,0
13,2,295,14,1825,442.539990,557.727266,25,270,0,0
13,1,270,15,1850,441.760961,551.087475,270,0,0,0
13,2,305,14,1815,463.710904,560.517812,270,35,0,0
13,4,355,12,1765,457.131465,616.693497,35,35,15,270
14,3,300,14,1780,483.346580,583.714556,270,15,15,0
14,2,295,15,1785,471.145391,572.396350,270,25,0,0
14,3,305,14,1775,474.105790,573.387218,15,20,270,0
14,3,315,14,1765,476.325812,573.136044,20,25,270,0
14,1,270,16,1810,450.251306,549.992919,270,0,0,0
14,1,270,16,1810,454.588771,553.343844,270,0,0,0
14,4,325,13,1755,493.051808,584.917831,20,20,270,15
15,2,285,15,1815,463.060153,549.608254,270,15,0,0
15,3,320,14,1780,424.804624,543.742061,15,35,270,0
15,1,270,16,1830,441.068109,542.771483,270,0,0,0
15,3,300,14,1800,462.237231,557.336545,270,15,15,0
15,3,320,14,1780,452.501206,551.961064,15,270,35,0
15,4,335,13,1765,456.155814,561.549020,270,15,35,15
15,1,270,16,1830,442.418655,546.048426,270,0,0,0
16,1,270,10,1730,451.354884,545.791626,270,0,0,0
16,1,270,10,1730,441.917012,517.689848,270,0,0,0
16,1,270,10,1730,444.649485,531.020880,270,0,0,0
16,2,295,9,1705,449.272680,530.820131,270,25,0,0
16,1,270,10,1730,421.628115,522.612095,270,0,0,0
16,1,270,10,1730,450.804234,537.626552,270,0,0,0
16,4,355,7,1645,483.392150,543.949318,35,270,35,15
17,2,305,14,1775,474.525173,553.719520,35,270,0,0
17,4,335,12,1745,472.793968,570.602178,25,20,20,270
17,1,270,15,1810,457.444367,552.088786,270,0,0,0
17,1,270,15,1810,474.100029,560.557198,270,0,0,0
17,3,315,13,1765,456.443672,562.083578,20,270,25,0
17,4,315,12,1765,465.922606,569.137597,15,15,270,15
17,1,270,15,1810,450.537606,543.350029,270,0,0,0
18,2,295,11,1740,433.529603,535.375810,270,25,0,0
18,1,270,12,1765,452.382914,544.365454,270,0,0,0
18,2,290,11,1745,470.178184,548.004722,270,20,0,0
18,2,285,11,1750,452.992067,545.538569,270,15,0,0
18,1,270,12,1765,447.756119,534.834051,270,0,0,0
18,1,270,12,1765,455.360568,540.997982,270,0,0,0
18,4,355,9,1680,487.576962,567.429710,270,15,35,35
19,2,285,21,1965,459.867126,569.699621,270,15,0,0
19,2,305,21,1945,472.477565,579.100776,270,35,0,0
19,4,335,19,1915,504.587693,597.961712,270,25,25,15
19,4,330,19,1920,474.764727,588.629722,15,270,25,20
19,3,310,20,1940,459.426935,577.603126,15,270,25,0
19,4,350,19,1900,478.518776,593.624210,25,270,35,20
19,4,335,19,1915,482.444454,591.931772,15,25,270,25
20,2,285,13,1765,451.005605,546.329188,270,15,0,0
20,1,270,14,1780,445.223150,553.298020,270,0,0,0
20,3,320,12,1730,480.164232,548.331380,35,270,15,0
20,2,290,13,1760,461.261202,543.707848,270,20,0,0
20,1,270,14,1780,450.701171,548.133444,270,0,0,0
20,2,290,13,1760,451.211517,547.886776,20,270,0,0
20,4,325,11,1725,455.138007,571.335101,25,270,15,15
21,2,285,17,1840,452.946278,567.487336,15,270,0,0
21,2,290,17,1835,480.023546,576.687432,270,20,0,0
21,4,320,15,1805,484.453800,587.885595,20,270,15,15
21,2,305,17,1820,445.125167,542.220545,35,270,0,0
21,3,305,16,1820,482.188057,577.221537,270,15,20,0
21,3,305,16,1820,457.973642,571.221924,20,270,15,0
21,3,315,16,1810,490.910271,584.515834,270,20,25,0
22,1,270,17,1885,453.374418,544.725132,270,0,0,0
22,1,270,17,1885,445.899454,542.285132,270,0,0,0
22,3,300,15,1855,448.464431,555.154037,15,270,15,0
22,3,320,15,1835,460.043012,536.635136,35,15,270,0
22,3,310,15,1845,453.835123,542.821074,270,15,25,0
22,4,365,14,1790,473.581584,636.891556,35,25,35,270
22,3,320,15,1835,453.856843,554.354787,15,270,35,0
23,3,305,14,1760,462.508873,563.201142,270,15,20,0
