idx,fv,fproc,bv,bproc,flat_mean,flat_90th,v0,v1,v2,v3
95,2,290,1,270,304.621565,333.394098,270,20,0,0
95,1,270,2,290,292.742158,321.723414,270,0,0,0
96,3,300,1,270,325.225277,351.133299,15,270,15,0
96,1,270,3,300,291.832852,317.208577,270,0,0,0
97,2,285,1,270,241.411718,346.998238,15,270,0,0
97,1,270,2,285,289.849522,312.950396,270,0,0,0
98,3,320,2,305,318.512089,341.422010,270,35,15,0
98,2,305,3,320,303.497370,325.518060,35,270,0,0
99,2,305,4,335,310.365609,335.690903,270,35,0,0
99,4,335,2,305,226.302142,354.282903,35,15,270,15
100,3,325,1,270,320.000110,343.547535,270,20,35,0
100,1,270,3,325,289.656554,312.079358,270,0,0,0
101,2,50,1,25,64.233991,70.250869,35,15,0,0
101,1,25,2,50,38.543351,41.889095,25,0,0,0
102,2,40,4,100,57.695321,63.747502,25,15,0,0
102,4,100,2,40,120.325345,130.347228,20,25,35,20
103,4,315,4,355,266.740144,383.691454,15,15,270,15
103,4,355,4,315,312.665660,340.620494,35,15,35,270
104,2,30,1,25,49.890857,55.639553,15,15,0,0
104,1,25,2,30,38.623774,42.760539,25,0,0,0
105,2,285,4,325,298.719766,321.754098,270,15,0,0
105,4,325,2,285,255.735529,355.896569,15,15,25,270
106,2,35,4,345,61.232240,70.477676,15,20,0,0
106,4,345,2,35,329.063179,359.559083,270,15,35,25
107,4,120,4,355,130.540414,141.165376,35,35,35,15
107,4,355,4,120,333.531307,356.020570,35,270,15,35
108,1,15,3,55,29.868522,33.280301,15,0,0,0
108,3,55,1,15,76.468078,83.016920,15,15,25,0
109,2,30,2,30,50.076535,55.955291,15,15,0,0
109,2,30,2,30,50.488216,56.264615,15,15,0,0
110,2,305,2,40,308.300776,334.501362,270,35,0,0
110,2,40,2,305,66.570002,83.247542,20,20,0,0
111,3,75,3,65,90.132102,96.661282,25,25,25,0
111,3,65,3,75,82.649733,88.800836,35,15,15,0
112,2,305,1,25,308.196299,333.578348,270,35,0,0
112,1,25,2,305,39.119413,41.890144,25,0,0,0
113,1,35,4,315,51.896250,54.957413,35,0,0,0
113,4,315,1,35,267.013295,380.823565,15,15,270,15
114,3,300,3,305,248.199495,371.417784,15,15,270,0
114,3,305,3,300,313.728837,340.186072,270,20,15,0
115,1,20,1,35,37.436372,45.650863,20,0,0,0
115,1,35,1,20,51.172103,56.973648,35,0,0,0
116,2,45,4,345,67.632595,79.469657,25,20,0,0
116,4,345,2,45,327.666261,352.016473,270,35,15,25
117,2,40,3,330,59.788767,63.715386,25,15,0,0
117,3,330,2,40,321.010133,344.419241,270,25,35,0
118,4,315,4,75,316.911553,341.919064,270,15,15,15
118,4,75,4,315,98.150270,107.734608,20,25,15,15
119,3,330,2,295,308.632278,332.572675,35,25,270,0
119,2,295,3,330,303.463010,328.817272,270,25,0,0
120,2,290,3,330,302.829731,340.990114,20,270,0,0
120,3,330,2,290,309.058766,329.133868,35,25,270,0
121,3,330,1,15,318.882372,347.334313,35,25,270,0
121,1,15,3,330,31.105757,33.071613,15,0,0,0
122,2,50,1,15,64.720298,71.159721,35,15,0,0
122,1,15,2,50,30.202016,33.141780,15,0,0,0
123,2,40,4,95,59.672012,65.487242,25,15,0,0
123,4,95,2,40,120.901169,129.383540,15,20,25,35
124,2,60,2,285,77.202477,81.990600,25,35,0,0
124,2,285,2,60,296.892700,320.535349,270,15,0,0
125,1,20,4,320,38.067737,43.091297,20,0,0,0
125,4,320,1,20,320.970023,347.987985,270,15,20,15
126,2,30,2,35,53.597653,61.504507,15,15,0,0
126,2,35,2,30,57.621967,65.479136,15,20,0,0
127,2,40,3,70,56.900215,61.077404,15,25,0,0
127,3,70,2,40,83.504906,88.619685,35,15,20,0
128,2,55,3,65,78.153905,85.508609,20,35,0,0
128,3,65,2,55,82.476048,87.729740,35,15,15,0
129,3,300,4,340,327.732462,355.987597,15,15,270,0
129,4,340,3,300,330.994124,356.305242,270,35,20,15
130,2,305,4,90,304.145714,326.490068,35,270,0,0
130,4,90,2,305,110.152407,116.357422,25,15,35,15
131,2,305,4,345,310.108159,332.024121,35,270,0,0
131,4,345,2,305,335.033886,372.508454,20,270,35,20
132,3,310,4,70,310.826442,335.171485,270,25,15,0
132,4,70,3,310,103.993651,117.412305,20,15,15,20
133,2,290,4,85,300.392588,325.555015,270,20,0,0
133,4,85,2,290,107.658883,118.570781,25,25,20,15
134,3,60,4,80,86.271527,95.443488,25,20,15,0
134,4,80,3,60,109.838285,119.403220,20,25,20,15
135,3,300,1,25,250.707968,355.612874,15,15,270,0
135,1,25,3,300,40.155261,42.565846,25,0,0,0
136,2,70,3,95,85.734787,90.825248,35,35,0,0
136,3,95,2,70,107.750812,115.232396,35,25,35,0
137,2,40,2,285,68.090317,80.565882,20,20,0,0
137,2,285,2,40,316.349159,339.688587,15,270,0,0
138,3,305,2,30,278.765467,426.619482,20,15,270,0
138,2,30,3,305,48.882028,54.166317,15,15,0,0
139,1,15,4,65,31.617950,36.831188,15,0,0,0
139,4,65,1,15,90.019718,98.734665,20,15,15,15
140,2,295,3,315,293.342603,334.375739,25,270,0,0
140,3,315,2,295,319.084190,360.091400,20,270,25,0
141,4,335,4,335,327.639617,352.719068,270,25,15,25
141,4,335,4,335,336.651028,366.146827,25,15,270,25
142,1,270,4,115,287.099209,313.499570,270,0,0,0
142,4,115,1,270,125.516621,140.655089,25,35,20,35
143,3,60,4,80,85.085748,95.544600,25,20,15,0
143,4,80,3,60,104.018016,112.109232,25,15,25,15
144,3,70,4,95,101.719223,114.469147,20,15,35,0
144,4,95,3,70,119.588133,130.639577,20,35,20,20
145,2,60,4,80,74.740306,79.821635,35,25,0,0
145,4,80,2,60,96.629663,103.249193,35,15,15,15
146,3,55,4,75,77.863717,84.762787,15,15,25,0
146,4,75,3,55,102.656649,111.760760,15,15,20,25
147,1,20,3,85,36.323202,40.704655,20,0,0,0
147,3,85,1,20,101.667156,109.832621,35,15,35,0
148,2,285,2,305,318.390114,342.852545,15,270,0,0
148,2,305,2,285,306.499015,331.062126,35,270,0,0
149,2,30,2,285,51.301908,54.149842,15,15,0,0
149,2,285,2,30,243.937645,346.507597,15,270,0,0
150,3,50,1,270,75.979246,87.546110,15,20,15,0
150,1,270,3,50,291.643925,319.854593,270,0,0,0
151,3,60,4,70,88.324971,99.599600,20,25,15,0
151,4,70,3,60,104.643849,116.714931,20,15,20,15
152,3,310,2,290,314.608413,339.721179,270,25,15,0
152,2,290,3,310,302.866547,326.126933,270,20,0,0
153,3,320,4,85,301.385040,345.278263,25,25,270,0
153,4,85,3,320,109.133580,117.428804,15,25,20,25
154,1,15,4,65,30.721545,34.174204,15,0,0,0
154,4,65,1,15,91.974920,99.625397,15,20,15,15
155,3,60,4,80,80.336682,88.113927,25,15,20,0
155,4,80,3,60,98.875397,106.568122,35,15,15,15
156,3,300,4,320,327.019488,349.582362,15,270,15,0
156,4,320,3,300,327.122637,353.584552,270,20,15,15
157,3,340,4,355,330.204096,354.917431,270,35,35,0
157,4,355,3,340,332.209914,354.064774,35,270,35,15
158,3,320,2,45,314.418775,344.570589,270,35,15,0
158,2,45,3,320,65.047110,72.746945,20,25,0,0
159,3,50,1,20,76.797196,85.624409,20,15,15,0
159,1,20,3,50,40.679396,49.597644,20,0,0,0
160,2,285,2,285,314.180490,337.681485,15,270,0,0
160,2,285,2,285,243.583995,353.930568,15,270,0,0
161,3,320,3,305,317.185507,343.156338,270,15,35,0
161,3,305,3,320,260.211732,361.711121,15,20,270,0
162,3,310,1,15,299.018251,342.634153,25,270,15,0
162,1,15,3,310,32.608812,35.015559,15,0,0,0
163,1,15,4,110,33.943677,38.889694,15,0,0,0
163,4,110,1,15,124.122361,137.682176,20,35,20,35
164,3,310,2,295,329.300478,357.959795,25,15,270,0
164,2,295,3,310,297.866253,338.198638,25,270,0,0
165,1,15,3,60,31.524793,34.588409,15,0,0,0
165,3,60,1,15,80.785474,89.246107,15,20,25,0
