node;vertices
node1;v1,v2,v3,v5,v7,v4,v6,
node2;v8,v9,v10,v12,v14,v11,v13,
node3;v15,v16,v17,v19,v21,v18,v20,
node4;v22,v23,v24,v26,v28,v25,v27,
node5;v29,v30,v31,v33,v35,v32,v34,
node8;v0,v36,
