node;vertices
node1;v1,v7,v9,v14,v3,v10,v23,v28,
node2;v20,v22,v27,v33,v2,v15,v47,v51,
node3;v35,v40,v46,v48,v8,v21,v32,v13,
node4;v5,v16,v18,v29,v34,v36,v41,v45,
node5;v31,v42,v44,v49,v4,v6,v50,v52,
node6;v11,v25,v37,v30,v26,
node7;v12,v24,v17,v19,v38,v43,v39,
node8;v0,v53,
