node;vertices
node1;v1,v27,v49,v57,v2,v28,v50,v58,v39,v55,v71,v40,v56,v72
node2;v3,v19,v29,v59,v61,v4,v20,v30,v60,v78,v7,v31,v8,v32
node3;v5,v25,v45,v73,v75,v6,v26,v46,v74,v47,v48
node4;v9,v35,v53,v77,v10,v36,v54,v76
node5;v11,v21,v37,v67,v69,v12,v22,v38,v68,v70,v15,v16
node6;v13,v33,v51,v14,v34,v52,v62,v23,v63,v24,v64
node7;v17,v41,v43,v65,v18,v42,v44,v66,v79,v80
node8;v0,v81
