node;vertices
node1;v1,v7,v9,v14,v2,v3,v8,v10,v42,
node2;v20,v22,v27,v33,v35,v46,v21,v23,v28,v6,v24,
node3;v40,v48,v5,v15,v16,v18,v44,v47,
node4;v29,v31,v34,v36,v41,v12,v25,v37,v38,v13,
node5;v49,v11,v4,v17,v50,v51,v52,
node6;v19,v30,v32,v43,
node7;v45,v26,v39,
node8;v0,v53,
