node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node1;v2;lpr;v1;1;200
node1;v3;eqh;v0;1;200
node1;v4;lpr;v3;1;200
node1;v5;clahe;v0;1;200
node1;v6;lpr;v5;1;200
node1;v7;seg;v2,v4,v6;1;200
node1;v8;fib;v7;1;200
node1;v9;bf;v0;1;200
node1;v10;lpr;v9;1;200
node1;v11;eqh;v0;1;200
node1;v12;lpr;v11;1;200
node1;v13;clahe;v0;1;200
node1;v14;lpr;v13;1;200
node1;v15;seg;v10,v12,v14;1;200
node1;v16;fib;v15;1;200
node1;v17;bf;v0;1;200
node1;v18;lpr;v17;1;200
node1;v19;eqh;v0;1;200
node1;v20;lpr;v19;1;200
node2;v21;clahe;v0;1;200
node2;v22;lpr;v21;1;200
node3;v23;seg;v18,v20,v22;1;200
node3;v24;fib;v23;1;200
node2;v25;bf;v0;1;200
node2;v26;lpr;v25;1;200
node2;v27;eqh;v0;1;200
node2;v28;lpr;v27;1;200
node2;v29;clahe;v0;1;200
node2;v30;lpr;v29;1;200
node2;v31;seg;v26,v28,v30;1;200
node2;v32;fib;v31;1;200
node2;v33;bf;v0;1;200
node2;v34;lpr;v33;1;200
node2;v35;eqh;v0;1;200
node2;v36;lpr;v35;1;200
node2;v37;clahe;v0;1;200
node2;v38;lpr;v37;1;200
node2;v39;seg;v34,v36,v38;1;200
node2;v40;fib;v39;1;200
node2;v41;bf;v0;1;200
node2;v42;lpr;v41;1;200
node3;v43;eqh;v0;1;200
node3;v44;lpr;v43;1;200
node3;v45;clahe;v0;1;200
node3;v46;lpr;v45;1;200
node3;v47;seg;v42,v44,v46;1;200
node3;v48;fib;v47;1;200
node3;v49;bf;v0;1;200
node3;v50;lpr;v49;1;200
node3;v51;eqh;v0;1;200
node3;v52;lpr;v51;1;200
node3;v53;clahe;v0;1;200
node3;v54;lpr;v53;1;200
node3;v55;seg;v50,v52,v54;1;200
node3;v56;fib;v55;1;200
node8;v57;snk;v8,v16,v24,v32,v40,v48,v56;1;200
